w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,class_label,val
0,1,0,1,0,1,1,0,1,0,0,1,1,1,bottle,0.17424242424242423
0,1,0,1,1,1,1,1,0,1,1,1,1,0,bottle,0.1590909090909091
0,0,0,0,1,0,1,1,0,0,0,0,1,0,bottle,0.15151515151515152
0,0,1,0,0,0,1,0,0,1,0,1,1,0,ant,0.1
1,0,0,0,0,0,0,1,0,1,1,1,0,0,desk_lamp,0.14285714285714285
0,1,1,1,1,1,0,1,0,1,1,1,1,0,bench,0.02727272727272728
0,0,1,1,0,0,1,0,1,1,0,1,1,0,bottle,0.1590909090909091
0,0,0,1,0,1,0,0,1,1,1,1,0,1,tv,0.022727272727272724
0,1,0,1,0,0,0,1,1,1,0,0,1,0,ant,0.1
0,1,1,0,0,0,0,1,1,0,1,0,1,1,bottle,0.1818181818181818
1,1,1,1,0,1,1,0,0,1,0,0,1,0,desk_lamp,0.027472527472527476
1,0,1,1,0,0,0,1,0,1,1,0,1,1,helmet,0.05555555555555556
0,0,1,0,1,0,0,0,1,1,0,0,1,1,tv,0.0
0,1,0,1,1,1,0,0,1,0,0,1,1,0,bottle,0.15151515151515152
1,1,1,1,0,0,0,0,0,1,1,0,0,0,bottle,0.1590909090909091
1,0,0,0,0,1,0,0,1,1,0,1,0,0,tv,0.04545454545454546
0,1,1,1,1,0,1,1,1,0,1,1,1,0,acoustic_guitar,0.0
0,0,0,0,1,1,1,1,1,0,0,1,0,0,bottle,0.07575757575757576
0,1,0,1,0,0,0,0,1,0,1,0,0,1,ant,0.25
1,0,1,0,0,0,0,0,0,0,1,0,1,1,tv,0.022727272727272724
1,0,1,0,0,0,0,1,0,1,1,0,1,0,bench,0.02727272727272728
1,1,1,1,0,1,0,1,1,1,0,1,0,1,acoustic_guitar,0.0
1,1,1,0,1,1,0,1,1,1,0,1,1,1,ant,0.2
1,0,0,1,1,0,1,1,0,1,0,1,0,0,ant,0.05
1,0,1,0,1,0,1,0,0,0,1,0,1,0,desk_lamp,0.049450549450549455
1,1,1,0,1,0,0,0,1,1,0,1,0,1,helmet,0.13333333333333336
0,0,0,1,0,1,0,0,1,0,0,1,0,0,desk_lamp,0.08791208791208792
1,1,0,1,0,1,0,1,0,0,0,1,1,1,desk_lamp,0.06593406593406594
0,1,1,0,0,1,1,0,1,0,0,1,1,1,bottle,0.17424242424242423
1,0,0,0,0,1,0,1,1,0,1,1,0,0,bottle,0.17424242424242423
0,1,1,0,1,0,1,0,1,1,0,0,1,0,bench,0.04545454545454546
1,0,1,1,1,1,1,0,0,1,1,0,1,1,tv,0.030303030303030304
1,1,1,0,0,1,1,1,0,1,1,0,0,1,helmet,0.08888888888888888
1,0,1,0,0,0,1,1,0,1,0,1,1,0,acoustic_guitar,0.0
0,0,1,0,0,0,0,1,0,0,0,1,1,1,tv,0.022727272727272724
1,0,1,1,1,0,0,0,1,0,1,0,0,0,acoustic_guitar,0.0
0,0,1,0,1,1,1,0,0,1,0,1,0,1,acoustic_guitar,0.0
0,1,0,1,1,1,0,0,0,1,1,0,0,0,acoustic_guitar,0.08333333333333333
1,0,0,1,0,1,0,0,1,0,0,0,0,0,desk_lamp,0.05494505494505494
0,0,1,0,0,1,0,1,0,1,1,1,1,0,acoustic_guitar,0.0
1,1,0,0,1,1,0,1,1,0,0,1,0,1,ant,0.1
0,0,1,1,1,1,1,0,0,0,0,1,0,0,tv,0.0
0,1,0,1,1,1,1,1,1,0,1,1,0,0,helmet,0.13333333333333336
0,1,1,1,0,0,1,0,0,0,0,0,1,0,ant,0.0
0,1,0,0,1,1,1,0,1,0,1,1,0,1,ant,0.1
0,1,1,1,1,0,1,1,1,1,0,0,0,0,bottle,0.0909090909090909
0,1,0,0,1,1,1,1,1,0,1,1,0,0,bottle,0.13636363636363635
0,1,1,0,0,0,0,0,0,0,1,0,0,0,bottle,0.030303030303030304
1,1,0,0,1,1,1,0,1,1,0,0,1,0,helmet,0.07777777777777778
1,0,0,0,1,1,0,1,1,0,0,1,1,0,ant,0.0
1,0,0,1,1,1,0,1,1,1,1,0,1,0,tv,0.022727272727272724
1,1,0,1,1,0,1,0,1,1,0,0,1,0,helmet,0.07777777777777778
1,1,1,0,1,0,0,0,1,1,1,1,0,0,ant,0.1
1,0,0,0,0,0,1,0,0,0,1,1,0,1,acoustic_guitar,0.0
1,0,1,0,1,1,1,1,1,0,0,0,1,1,tv,0.03787878787878788
0,0,1,0,1,1,0,1,0,0,1,0,1,1,tv,0.015151515151515152
1,1,0,0,0,1,0,1,0,1,1,1,0,1,bottle,0.21969696969696972
1,0,0,1,1,1,0,1,0,0,0,0,0,0,tv,0.007575757575757576
0,0,1,1,1,1,1,1,0,1,1,0,1,0,desk_lamp,0.02197802197802198
1,0,0,0,0,1,1,1,1,0,0,0,1,0,acoustic_guitar,0.0
1,0,0,0,0,0,1,0,0,1,1,1,1,0,helmet,0.1
0,1,1,0,1,0,0,1,1,1,1,0,0,0,tv,0.007575757575757576
1,0,0,0,0,0,1,0,0,1,1,1,1,0,acoustic_guitar,0.0
0,0,0,1,1,1,0,0,1,0,1,1,1,1,tv,0.022727272727272724
1,0,0,1,1,0,0,1,0,0,1,0,0,0,desk_lamp,0.027472527472527476
1,1,0,1,1,1,1,1,0,1,0,0,0,0,acoustic_guitar,0.0
1,0,1,1,0,0,1,0,0,0,1,0,0,1,acoustic_guitar,0.08333333333333333
1,0,0,0,0,0,1,1,1,1,1,0,1,0,ant,0.0
1,1,1,1,0,0,0,0,0,1,1,0,0,0,desk_lamp,0.06593406593406594
1,1,1,1,0,1,0,1,0,0,0,1,0,0,acoustic_guitar,0.0
0,0,0,0,1,0,1,1,0,0,0,0,1,0,ant,0.0
1,1,1,1,1,0,1,1,0,1,0,1,1,1,bench,0.03636363636363637
1,1,0,1,0,1,1,0,0,1,0,1,0,0,tv,0.05303030303030303
0,1,1,0,1,0,0,1,0,0,0,0,0,1,bottle,0.1590909090909091
0,1,0,0,1,1,0,1,0,0,1,1,0,0,bottle,0.09848484848484847
1,1,1,1,1,1,1,0,1,1,0,1,1,1,desk_lamp,0.07692307692307694
0,1,1,0,1,0,1,0,0,1,0,0,1,1,bench,0.03636363636363637
0,1,0,0,1,1,0,1,0,1,1,1,0,0,bottle,0.16666666666666666
0,1,0,1,0,0,0,0,1,0,0,1,1,1,helmet,0.08888888888888888
1,1,1,0,0,1,0,1,0,1,0,1,0,1,desk_lamp,0.08241758241758242
0,1,1,0,1,1,0,0,1,0,0,1,0,0,bench,0.0
0,1,1,1,1,1,1,0,1,1,1,1,1,1,acoustic_guitar,0.0
0,1,0,0,0,1,1,1,0,1,0,1,1,0,bottle,0.15151515151515152
1,1,1,1,1,1,1,1,1,0,1,0,0,1,acoustic_guitar,0.0
0,0,1,0,0,0,0,1,0,1,1,0,0,0,helmet,0.02222222222222222
1,0,1,1,1,1,1,1,0,0,0,1,1,0,ant,0.0
1,1,1,0,1,0,0,0,1,1,1,1,0,0,tv,0.015151515151515152
0,0,1,0,1,0,0,1,1,0,0,0,0,1,helmet,0.08888888888888888
1,1,1,1,0,1,1,0,1,0,0,0,0,0,helmet,0.14444444444444446
0,0,1,1,1,0,0,1,0,1,1,0,0,1,acoustic_guitar,0.16666666666666666
1,0,0,0,0,1,1,0,1,0,1,1,0,0,bench,0.018181818181818184
0,0,0,0,1,0,1,1,1,0,0,1,1,1,acoustic_guitar,0.0
1,1,1,1,1,1,1,0,1,1,0,1,0,0,helmet,0.13333333333333333
0,0,1,1,0,0,0,1,1,1,0,1,1,0,tv,0.0
1,0,1,0,1,0,0,1,1,1,1,0,0,1,bench,0.018181818181818184
0,0,0,0,1,0,0,1,1,1,0,1,1,1,desk_lamp,0.07142857142857142
0,1,0,1,1,0,0,1,1,0,1,0,0,1,bottle,0.1818181818181818
0,1,0,0,0,1,0,0,1,1,0,0,0,1,desk_lamp,0.03296703296703297
0,1,1,1,0,0,0,1,0,1,1,1,0,0,ant,0.15
1,1,0,0,0,1,0,0,1,0,0,1,0,0,ant,0.0
0,1,1,0,0,1,0,1,0,0,1,0,1,1,tv,0.015151515151515152
1,0,0,0,0,0,0,1,0,0,0,1,1,1,bench,0.03636363636363637
0,0,0,1,1,0,1,1,0,0,1,1,0,0,bottle,0.09848484848484847
1,1,1,1,1,0,1,1,0,1,0,0,1,1,desk_lamp,0.04395604395604396
1,1,1,0,1,1,1,0,1,1,0,0,0,1,bottle,0.22727272727272727
0,1,0,0,1,1,0,1,1,0,0,1,1,0,desk_lamp,0.06043956043956045
1,1,0,1,1,0,0,1,0,0,0,0,0,1,bench,0.018181818181818184
1,0,0,1,1,1,0,0,0,1,0,0,1,1,tv,0.022727272727272724
0,1,0,0,1,0,0,1,1,0,0,1,1,1,bottle,0.17424242424242423
0,1,1,1,0,0,0,1,1,0,1,0,1,0,bottle,0.14393939393939395
1,1,0,1,0,0,0,0,0,1,1,0,0,1,bench,0.009090909090909092
0,0,0,1,1,0,0,0,0,0,0,0,0,1,tv,0.015151515151515152
1,0,0,0,0,0,1,1,1,0,0,1,0,1,tv,0.030303030303030304
1,1,1,1,0,1,0,1,1,0,1,0,0,0,ant,0.0
0,1,1,0,0,1,1,0,1,0,1,0,1,0,tv,0.03787878787878788
0,1,1,1,1,0,1,1,0,0,1,1,1,1,tv,0.030303030303030304
1,0,0,1,0,1,0,0,1,0,0,0,0,0,tv,0.030303030303030304
0,1,1,0,1,1,1,0,0,1,1,0,0,0,acoustic_guitar,0.08333333333333333
1,1,0,1,0,1,0,0,0,1,1,0,1,1,desk_lamp,0.06043956043956045
0,1,0,1,1,0,0,0,0,1,1,0,1,1,desk_lamp,0.03846153846153847
1,1,1,1,1,0,0,0,1,0,1,1,0,0,tv,0.007575757575757576
0,1,1,0,1,1,0,0,1,1,1,0,1,1,bench,0.02727272727272728
1,0,0,0,1,0,0,0,0,1,0,0,0,0,bench,0.018181818181818184
0,0,0,1,1,1,0,0,1,0,1,1,1,1,bottle,0.16666666666666666
0,1,1,0,1,0,0,0,0,0,1,0,0,0,ant,0.0
1,0,0,1,0,1,0,0,0,1,1,0,1,1,helmet,0.05555555555555556
1,0,1,1,1,1,0,0,0,0,1,1,1,0,tv,0.015151515151515152
1,1,0,1,1,1,0,0,0,0,1,0,0,1,helmet,0.07777777777777777
0,1,0,0,0,0,1,0,1,1,0,0,1,1,bench,0.05454545454545456
1,0,0,0,1,1,0,0,0,0,0,1,1,1,desk_lamp,0.06593406593406594
0,0,1,0,1,1,1,0,1,1,1,1,1,1,ant,0.2
0,1,1,0,1,0,1,0,1,1,0,0,1,0,helmet,0.06666666666666667
1,0,0,1,0,1,0,1,0,1,0,0,1,0,acoustic_guitar,0.0
0,0,1,0,1,0,0,1,0,1,1,0,0,1,acoustic_guitar,0.16666666666666666
1,1,0,1,1,0,0,0,1,0,0,1,1,0,helmet,0.08888888888888888
0,0,0,1,1,1,1,1,0,1,0,1,1,1,desk_lamp,0.06593406593406594
0,1,0,0,1,0,1,0,0,1,1,1,0,1,bench,0.018181818181818184
0,1,1,1,1,0,1,1,0,0,1,1,1,1,bottle,0.16666666666666666
0,0,1,1,0,1,0,1,1,0,1,0,1,0,bench,0.0
0,0,1,0,0,1,0,1,0,1,0,1,0,0,helmet,0.04444444444444444
0,1,1,1,0,1,1,0,1,0,1,0,1,1,helmet,0.05555555555555556
1,1,0,0,0,1,1,0,1,1,0,1,1,1,desk_lamp,0.07692307692307694
1,0,0,1,1,0,0,1,1,1,0,1,0,1,ant,0.2
1,1,1,1,0,1,0,1,1,1,0,0,0,1,bench,0.03636363636363637
0,0,0,0,1,0,0,1,1,0,1,0,1,1,bottle,0.1818181818181818
1,1,1,0,1,0,0,0,1,1,1,1,0,0,bottle,0.18939393939393936
0,1,1,1,1,1,1,1,1,1,0,0,1,0,tv,0.022727272727272724
1,1,0,0,0,1,0,1,1,1,1,1,0,0,ant,0.1
0,0,1,1,0,1,1,1,1,1,1,0,0,1,tv,0.007575757575757576
0,0,1,1,0,1,0,1,1,0,1,0,1,0,acoustic_guitar,0.0
0,1,0,1,1,1,0,0,0,0,0,0,1,0,acoustic_guitar,0.0
1,1,1,1,1,0,1,1,0,0,1,0,1,1,helmet,0.06666666666666668
0,1,0,0,1,1,1,0,0,0,1,1,1,1,tv,0.030303030303030304
1,1,0,0,0,0,0,1,0,1,1,1,0,1,helmet,0.1222222222222222
0,1,0,1,0,0,0,0,0,1,0,0,1,0,ant,0.0
0,0,1,0,1,1,1,0,0,1,0,1,0,0,bench,0.02727272727272728
0,0,0,1,0,0,1,1,1,0,1,1,0,0,ant,0.05
0,0,1,1,0,1,0,0,1,0,0,1,1,0,bottle,0.15151515151515152
0,1,1,1,1,0,1,1,0,1,0,1,0,0,acoustic_guitar,0.0
0,0,0,1,1,1,1,1,0,1,0,1,1,1,bench,0.02727272727272728
0,0,0,0,1,0,1,1,1,0,0,0,0,1,acoustic_guitar,0.0
0,1,1,0,1,0,0,0,0,0,1,0,0,0,tv,0.0
0,1,1,1,0,1,0,0,0,0,0,0,0,1,ant,0.1
1,1,1,0,0,1,1,0,1,0,0,0,1,1,bottle,0.16666666666666666
0,0,0,0,1,0,0,1,1,1,0,1,1,1,tv,0.022727272727272724
0,1,0,0,0,1,0,0,1,1,0,0,0,1,tv,0.0
1,0,0,1,0,1,0,0,1,1,0,1,1,0,tv,0.030303030303030304
1,0,1,0,1,0,1,1,1,1,0,1,0,1,helmet,0.13333333333333336
1,1,1,1,1,0,1,1,0,1,0,0,1,1,tv,0.022727272727272724
0,1,0,1,0,0,0,1,1,1,1,1,0,0,tv,0.0
0,0,0,0,1,1,0,1,0,1,0,0,0,1,ant,0.2
1,0,1,0,0,1,1,0,0,1,1,0,0,0,bench,0.018181818181818184
1,0,1,1,1,1,0,0,0,0,1,0,0,0,helmet,0.03333333333333333
1,1,0,1,0,1,1,1,1,1,0,0,1,0,helmet,0.07777777777777778
1,1,0,1,1,0,1,1,1,1,1,1,0,1,desk_lamp,0.0989010989010989
1,0,1,0,1,0,1,0,1,1,0,0,1,1,bottle,0.1590909090909091
1,1,0,1,1,0,0,1,0,0,0,0,0,1,acoustic_guitar,0.16666666666666666
0,0,0,0,0,0,1,1,1,1,1,1,0,0,acoustic_guitar,0.08333333333333333
0,0,1,1,1,1,1,0,0,1,0,0,0,1,tv,0.0
1,0,1,1,1,0,0,0,0,1,1,1,0,0,desk_lamp,0.14285714285714285
1,1,1,1,0,0,1,0,0,1,0,0,0,0,bottle,0.14393939393939392
0,1,0,0,1,0,0,0,1,0,1,0,0,1,acoustic_guitar,0.0
1,0,0,1,0,0,1,1,1,1,0,0,1,1,acoustic_guitar,0.0
0,1,0,1,1,0,0,0,1,0,0,1,0,0,helmet,0.06666666666666668
0,0,1,0,0,0,1,0,0,1,0,1,1,0,bottle,0.15151515151515152
0,0,0,0,0,0,0,0,1,1,0,1,0,1,acoustic_guitar,0.0
1,0,1,0,1,0,0,1,1,1,0,1,1,1,bench,0.04545454545454546
0,1,0,1,0,0,0,1,1,1,0,0,1,0,bottle,0.15151515151515152
0,1,1,1,1,1,0,0,0,0,0,0,0,1,desk_lamp,0.0
1,1,1,0,1,0,0,0,1,1,0,1,0,1,acoustic_guitar,0.0
0,1,0,0,1,0,1,1,0,0,0,0,0,1,helmet,0.06666666666666667
1,0,0,0,1,1,0,0,0,0,0,1,1,1,tv,0.030303030303030304
1,1,0,0,0,1,0,1,1,1,1,1,0,0,tv,0.015151515151515152
0,0,0,0,1,0,1,0,1,0,0,0,0,1,bottle,0.16666666666666666
1,1,1,0,0,1,0,1,1,0,1,0,1,1,bench,0.018181818181818184
0,1,0,0,0,0,0,1,1,0,0,1,1,1,ant,0.1
